,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,id,id_str,name,screen_name,description,years_online,statuses_count,tweets_per_year,location,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,live_following,follow_request_sent,notifications,muting,blocking,blocked_by,translator_type,withheld_in_countries,year_created,friend_ratio
0,0,0,0,61,18001572.0,18001572.0,MX W0RLD🌹,charlottealiced,DJ MX W0RLD | mgmt @pettymusicgroup 🔮 | booking @rivfestofficial | arts liaison @rrfoundation__ | editor @hoothowlmag 2011 - 17 | @mmfuk member | they/them 🌹,14.0,52222.0,3730.142857142857,warrington,https://t.co/WbRlYCPRlP,"{'url': {'urls': [{'url': 'https://t.co/WbRlYCPRlP', 'expanded_url': 'https://paypal.me/charlottealiced', 'display_url': 'paypal.me/charlottealiced', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,4173.0,3461.0,28.0,Tue Dec 09 20:35:08 +0000 2008,66117.0,,,True,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1254542143609278473/p4nGUQHF_normal.jpg,https://pbs.twimg.com/profile_images/1254542143609278473/p4nGUQHF_normal.jpg,https://pbs.twimg.com/profile_banners/18001572/1466001672,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,False,False,False,False,none,[],2008.0,1.2057208899162093
1,1,2,2,1269,2857651035.0,2857651035.0,Operasonic,operasonic,We create opportunities for people to use their creative power to tell stories and celebrate their communities and open up music as a means of self-expression.,8.0,16905.0,2113.125,Newport,https://t.co/RoXaGHvhAK,"{'url': {'urls': [{'url': 'https://t.co/RoXaGHvhAK', 'expanded_url': 'https://msha.ke/operasonic', 'display_url': 'msha.ke/operasonic', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,1621.0,1972.0,46.0,Sun Nov 02 21:29:26 +0000 2014,15090.0,,,True,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/588705140888178688/_r4GhG56_normal.png,https://pbs.twimg.com/profile_images/588705140888178688/_r4GhG56_normal.png,https://pbs.twimg.com/profile_banners/2857651035/1669912212,4A913C,000000,000000,000000,False,False,False,False,False,False,False,False,False,False,False,none,[],2014.0,0.8220081135902637
2,2,3,3,1635,41552025.0,41552025.0,Rob Shaw,r0b_shaw,Ethical #arts #fundraising + management #consultant / part-time olive + almond farmer /  work with @20storieshigh + @soundcity + others in #music + #theatre,13.0,27765.0,2135.769230769231,Liverpool / Catalunya,https://t.co/qA9nI315n6,"{'url': {'urls': [{'url': 'https://t.co/qA9nI315n6', 'expanded_url': 'http://www.linkedin.com/in/robshawfundraising', 'display_url': 'linkedin.com/in/robshawfund…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,2476.0,4936.0,101.0,Thu May 21 08:23:08 +0000 2009,26399.0,,,True,False,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1516723798036340737/usE6S3Ad_normal.jpg,https://pbs.twimg.com/profile_images/1516723798036340737/usE6S3Ad_normal.jpg,https://pbs.twimg.com/profile_banners/41552025/1592285569,FAB81E,FFFFFF,87858F,404040,True,False,False,False,False,False,False,False,False,False,False,none,[],2009.0,0.5016207455429498
3,3,4,4,1818,1.1816327143546266e+18,1.1816327143546263e+18,Dance•With•hoUSe®,DanceWithHoUSe_,Everything about house music. 🤟Next Stop: ULTRA MIAMI 24-25-26 March 2023,3.0,9692.0,3230.666666666666,Madrid/Naples/London,https://t.co/gpjFEx9WNf,"{'url': {'urls': [{'url': 'https://t.co/gpjFEx9WNf', 'expanded_url': 'http://www.mixcloud.com/DanceWithHoUSe', 'display_url': 'mixcloud.com/DanceWithHoUSe', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,222.0,863.0,4.0,Tue Oct 08 18:09:50 +0000 2019,8548.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1462901251750907906/E9IsGnB0_normal.jpg,https://pbs.twimg.com/profile_images/1462901251750907906/E9IsGnB0_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],2019.0,0.2572421784472769
4,4,6,6,2241,581226365.0,581226365.0,Melle Brown,Melle_Brown,"25. Music Producer. DJ. Presenter @ReprezentRadio Mon Bi Weekly 7-9 | Link in bio for music, mixes, radio shows 🪩! jamila@intothebluemgmt.com",10.0,20918.0,2091.8,London,https://t.co/ozbecM7Eha,"{'url': {'urls': [{'url': 'https://t.co/ozbecM7Eha', 'expanded_url': 'https://MelleBrown.lnk.to/FeelAboutYouSo', 'display_url': 'MelleBrown.lnk.to/FeelAboutYouSo', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,2228.0,2443.0,18.0,Tue May 15 20:35:54 +0000 2012,47049.0,,,True,False,,False,False,False,214C61,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1600623357564698624/dcA6xjc5_normal.jpg,https://pbs.twimg.com/profile_images/1600623357564698624/dcA6xjc5_normal.jpg,https://pbs.twimg.com/profile_banners/581226365/1670469192,981CEB,FFFFFF,DDEEF6,333333,False,True,False,False,False,False,False,False,False,False,False,none,[],2012.0,0.911993450675399
5,5,9,9,2906,7.826583975606354e+17,7.826583975606355e+17,Drops Of Brain,cranialillusion,| musician |,6.0,142224.0,23704.0,Disunited Kingdom,,{'description': {'urls': []}},False,1089.0,2471.0,19.0,Sun Oct 02 19:07:57 +0000 2016,118165.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/829771064024653824/29uNMT8V_normal.jpg,https://pbs.twimg.com/profile_images/829771064024653824/29uNMT8V_normal.jpg,https://pbs.twimg.com/profile_banners/782658397560635392/1492243452,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2016.0,0.4407122622420073
6,6,10,10,2944,7.891542510879457e+17,7.891542510879457e+17,𝕿𝖆𝖘𝖒𝖎𝖓 𝕿𝖆𝖞𝖑𝖔𝖗,tasmintaylor_dj,dj • host • 1/2 @hangthedjsuk • @goldenaxemusic_ • live dj for @delilahbon_ • new music friday • she/her • bookings: tasmintaylor.dj@gmail.com【=◈︿◈=】,6.0,13151.0,2191.833333333333,,https://t.co/QMpSm4DWWq,"{'url': {'urls': [{'url': 'https://t.co/QMpSm4DWWq', 'expanded_url': 'http://linktr.ee/tasmintaylor_dj/', 'display_url': 'linktr.ee/tasmintaylor_d…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,1802.0,1470.0,8.0,Thu Oct 20 17:20:10 +0000 2016,14102.0,,,True,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1573281142412812290/IYkWhZdf_normal.jpg,https://pbs.twimg.com/profile_images/1573281142412812290/IYkWhZdf_normal.jpg,https://pbs.twimg.com/profile_banners/789154251087945728/1623203327,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,False,False,False,False,none,[],2016.0,1.2258503401360543
7,7,11,11,3283,376272348.0,376272348.0,Megan Matthews,megmatthewss,Orchestra & Concerts manager of @orchestra_swan. Previous @dretmusic music programme manager. MA & BA Music graduate @bristoluni. Small business owner.,11.0,31297.0,2845.181818181818,Leicestershire,https://t.co/wjXshPg3D2,"{'url': {'urls': [{'url': 'https://t.co/wjXshPg3D2', 'expanded_url': 'http://instagram.com/meganhmakes', 'display_url': 'instagram.com/meganhmakes', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,1661.0,2533.0,3.0,Mon Sep 19 16:10:02 +0000 2011,5973.0,,,True,False,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1547680012500815873/KlJwRlUM_normal.jpg,https://pbs.twimg.com/profile_images/1547680012500815873/KlJwRlUM_normal.jpg,https://pbs.twimg.com/profile_banners/376272348/1647976921,FF691F,FFFFFF,F70317,050501,True,True,False,False,False,False,False,False,False,False,False,none,[],2011.0,0.655744176865377
8,8,12,12,3435,278458750.0,278458750.0,jen,jenxmcanally,music biz vegan | 6th member of @wrthlessmusic,11.0,36399.0,3309.0,glasgow,https://t.co/6IrEcGyB3c,"{'url': {'urls': [{'url': 'https://t.co/6IrEcGyB3c', 'expanded_url': 'https://jmmedia.uk/', 'display_url': 'jmmedia.uk', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,971.0,581.0,0.0,Thu Apr 07 09:45:57 +0000 2011,118859.0,,,True,False,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1589042190633910272/2VYXQXQh_normal.jpg,https://pbs.twimg.com/profile_images/1589042190633910272/2VYXQXQh_normal.jpg,https://pbs.twimg.com/profile_banners/278458750/1655329260,F58EA8,000000,DDEEF6,333333,True,True,False,False,False,False,False,False,False,False,False,none,[],2011.0,1.6712564543889843
9,9,13,13,3456,2466507900.0,2466507900.0,ace 👽☁,StiltOwl,singer-songwriter / music journo / educator / ball of anxiety / 2022 album count: 86,8.0,16893.0,2111.625,26 | they,,{'description': {'urls': []}},False,957.0,3543.0,2.0,Sun Apr 27 18:58:14 +0000 2014,38029.0,,,False,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1357451326913994753/S9nqRM2a_normal.jpg,https://pbs.twimg.com/profile_images/1357451326913994753/S9nqRM2a_normal.jpg,https://pbs.twimg.com/profile_banners/2466507900/1632693416,3CB300,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,False,False,False,False,none,[],2014.0,0.2701100762066046
