,id,id_str,name,screen_name,description,years_online,statuses_count,tweets_per_year,location,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,live_following,follow_request_sent,notifications,muting,blocking,blocked_by,translator_type,withheld_in_countries,year_created
60599,1.006676134086443e+18,1006676134086443008,Black Teachers Connect CIC,blackteachersco,The UK’s No.1 Hub for Black Teachers | BUILDING a COMMUNITY for Black teachers and Staff GLOBALLY📚 | Connect with us! 📧Blackteachersconnect@gmail.com,4.0,10326.0,2581.5,United Kingdom,https://t.co/7jvCAXJ7bD,"{'url': {'urls': [{'url': 'https://t.co/7jvCAXJ7bD', 'expanded_url': 'https://linktr.ee/blackteachersconnect', 'display_url': 'linktr.ee/blackteachersc…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,5172.0,525.0,23.0,Tue Jun 12 23:14:28 +0000 2018,7839.0,,,False,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1061739901010542592/aKI6zESA_normal.jpg,https://pbs.twimg.com/profile_images/1061739901010542592/aKI6zESA_normal.jpg,https://pbs.twimg.com/profile_banners/1006676134086443008/1618177027,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2018.0
62323,8.753560665524429e+17,875356066552442883,FT for Schools,ft4s,"For students aged 16-19, teachers and schools around the world: free @FinancialTimes access + resources. Tweet us with your recommended articles and tell us why",5.0,62340.0,12468.0,"London, England",https://t.co/cJCcL5pemj,"{'url': {'urls': [{'url': 'https://t.co/cJCcL5pemj', 'expanded_url': 'http://www.ft.com/schools', 'display_url': 'ft.com/schools', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,5313.0,9790.0,40.0,Thu Jun 15 14:15:24 +0000 2017,4928.0,,,False,True,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/931136792627154944/0iU8O2pQ_normal.jpg,https://pbs.twimg.com/profile_images/931136792627154944/0iU8O2pQ_normal.jpg,https://pbs.twimg.com/profile_banners/875356066552442883/1635015452,9E2F50,000000,000000,000000,False,False,False,False,False,False,False,False,False,False,False,none,[],2017.0
63432,1119466838.0,1119466838,Teach Talks,TeachTalks,"Educational news, ideas and opinion to inform, update and inspire school leaders, teachers and anyone with an interest in learning/education.",9.0,40112.0,4456.888888888889,"East Anglia, UK",https://t.co/cNiyuMl3jH,"{'url': {'urls': [{'url': 'https://t.co/cNiyuMl3jH', 'expanded_url': 'http://www.teachtalks.co.uk', 'display_url': 'teachtalks.co.uk', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,5856.0,3285.0,208.0,Fri Jan 25 14:34:22 +0000 2013,4422.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/565525319734800385/yZfCublJ_normal.jpeg,https://pbs.twimg.com/profile_images/565525319734800385/yZfCublJ_normal.jpeg,https://pbs.twimg.com/profile_banners/1119466838/1518686842,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2013.0
63965,4825175211.0,4825175211,Jan Rowe FCCT,Janroweljmu,Strategic Partnership development lead at LJMU. Committed to Partnership in teacher education. All views my own. Retweets not endorsements.,6.0,16412.0,2735.3333333333335,"Liverpool, England",,{'description': {'urls': []}},False,3357.0,4025.0,8.0,Mon Jan 18 20:18:02 +0000 2016,22368.0,,,True,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1475771817159766016/IZ91vQ1a_normal.jpg,https://pbs.twimg.com/profile_images/1475771817159766016/IZ91vQ1a_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2016.0
64305,1.1007917690028484e+18,1100791769002848257,Lynn McCann - ReachoutASC,ReachoutASC,"Lynn and the team at Reachout ASC are autism (and ADHD / PDA) specialist teachers providing support, training, advice and resources. #Author #Speaker #Advocate",3.0,21414.0,7138.0,"North West, England",https://t.co/dannL0I3Qd,"{'url': {'urls': [{'url': 'https://t.co/dannL0I3Qd', 'expanded_url': 'https://www.reachoutasc.com', 'display_url': 'reachoutasc.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,11347.0,4087.0,30.0,Wed Feb 27 16:16:24 +0000 2019,28486.0,,,False,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1564618287203422212/xdraHpa4_normal.jpg,https://pbs.twimg.com/profile_images/1564618287203422212/xdraHpa4_normal.jpg,https://pbs.twimg.com/profile_banners/1100791769002848257/1661938243,981CEB,000000,000000,000000,False,False,False,False,False,False,False,False,False,False,False,none,[],2019.0
66084,8.982484355556024e+17,898248435555602432,Nexus-Education,NexusEdUK,"We're a free platform funding schools (£150k since 2018) via #NeXworking as well as sharing teacher blogs, ideas, CPD and resources to over 11,000 educators.",5.0,10208.0,2041.6,Chester,https://t.co/Zx4KOgrzhG,"{'url': {'urls': [{'url': 'https://t.co/Zx4KOgrzhG', 'expanded_url': 'http://www.nexus-education.com', 'display_url': 'nexus-education.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,7301.0,8034.0,20.0,Thu Aug 17 18:21:30 +0000 2017,26179.0,,,True,False,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1403262079998509057/Lr-D-m80_normal.jpg,https://pbs.twimg.com/profile_images/1403262079998509057/Lr-D-m80_normal.jpg,https://pbs.twimg.com/profile_banners/898248435555602432/1663656583,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,False,False,False,False,none,[],2017.0
75459,149134376.0,149134376,Anti Academies,antiacademies,"The Anti Academies Alliance is a campaign composed of parents, pupils, teachers, MPs, councillors & unions: TUC NASUWT NEU UCU UNISON UNITE GMB PCS MU & FBU",12.0,24064.0,2005.3333333333333,,http://t.co/VPm5uMHf54,"{'url': {'urls': [{'url': 'http://t.co/VPm5uMHf54', 'expanded_url': 'http://antiacademies.org.uk', 'display_url': 'antiacademies.org.uk', 'indices': [0, 22]}]}, 'description': {'urls': []}}",False,9608.0,2726.0,97.0,Fri May 28 14:11:04 +0000 2010,626.0,,,True,False,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/647801959555182593/xHbajBLY_normal.jpg,https://pbs.twimg.com/profile_images/647801959555182593/xHbajBLY_normal.jpg,https://pbs.twimg.com/profile_banners/149134376/1444981475,0084B4,BDDCAD,DDFFCC,333333,True,False,False,False,False,False,False,False,False,False,False,none,[],2010.0
76100,55198921.0,55198921,London Teaching Pool,TLTPEducation,TLTP Education providing teachers and support staff to schools. Holder of the REC Audited Award. Call 020 8709 6540 visit https://t.co/ndCpAPgZ4p for latest vacancies,13.0,179162.0,13781.692307692309,London,https://t.co/6x8ZQd1vpY,"{'url': {'urls': [{'url': 'https://t.co/6x8ZQd1vpY', 'expanded_url': 'https://www.tltp.co.uk', 'display_url': 'tltp.co.uk', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/ndCpAPgZ4p', 'expanded_url': 'http://tltp.co.uk', 'display_url': 'tltp.co.uk', 'indices': [122, 145]}]}}",False,5934.0,3493.0,220.0,Thu Jul 09 10:25:35 +0000 2009,445.0,,,True,False,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/764118787641712640/_X885zbT_normal.jpg,https://pbs.twimg.com/profile_images/764118787641712640/_X885zbT_normal.jpg,https://pbs.twimg.com/profile_banners/55198921/1664783630,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,False,False,False,False,none,[],2009.0
76275,20773843.0,20773843,doodle education,doodle_ed,"we help teachers to create, share and sell professional high class learning resources.",13.0,53732.0,4133.2307692307695,"uk, planet earth!",https://t.co/Tv94EyE0SE,"{'url': {'urls': [{'url': 'https://t.co/Tv94EyE0SE', 'expanded_url': 'http://www.doodle.ac', 'display_url': 'doodle.ac', 'indices': [0, 23]}]}, 'description': {'urls': []}}",False,14894.0,8743.0,220.0,Fri Feb 13 14:33:45 +0000 2009,17855.0,,,False,False,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1174016439688323073/SdgR1h_3_normal.png,https://pbs.twimg.com/profile_images/1174016439688323073/SdgR1h_3_normal.png,https://pbs.twimg.com/profile_banners/20773843/1642069020,1C3A6C,FFFFFF,DDFFCC,858585,True,False,False,False,False,False,False,False,False,False,False,none,[],2009.0
77656,8.158623737687245e+17,815862373768724480,Coventry & Warwickshire Unite Community,CovUnite,"Administered by a Coventry and Warwickshire Unite the Community member.
Union organiser and representative.
Retired teacher who now works for his class.",5.0,11446.0,2289.2,Warwickshire,,{'description': {'urls': []}},False,336.0,640.0,5.0,Mon Jan 02 10:08:42 +0000 2017,10799.0,,,False,False,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/831084209288605696/KktaR2KF_normal.jpg,https://pbs.twimg.com/profile_images/831084209288605696/KktaR2KF_normal.jpg,,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,False,False,False,False,none,[],2017.0
